title;year;author
Can artificial intelligence explain natural intelligence? A discussion on an actual problem.;1973;Arianna Mencattini and Tiziana Tocci and M. Nuccetelli and M. Pieri and S. Bernardini and E. Martinelli
Artificial Intelligence and Legal Responsibility.;1985;Les Gasser and Kenneth Laudon
Empowering Automatic Decision-Making Systems: General Intelligence, Responsibility, and Moral Sensibility.;1985;Robert M. Aiken
Reloading a Human Memory: A New Ethical Question for Artificial Intelligence Technology.;1986;Michael R. LaChat
Artificial Intelligence and Ethics: An Exercise in the Moral Imagination.;1986;Madjid Mashour
AI and Accountability.;1987;Kenneth Mark Colby
Design of an AI-Based Self-Sustaining Habitats Control System.;1988;Margaret A. Boden
Pathologies of AI: Responsible of Artificial Intelligence in Professional Work.;1988;Ronald K. Stamper
AIDECS: An AI-based, distributed environmental control system for self-sustaining habitats.;1990;Dedre Gentner and Kenneth D. Forbus
Ethical AI.;1991;Tag Gon Kim and Bernard P. Zeigler
Competence and responsibility in intelligent systems.;1992;Alan Sangster
Organisational Spaces and Intelligent Machines: A Metaphorical Approach to Ethics.;1995;Ajit Narayanan
Explaining the Ineffable: AI on the Topics of Intuition, Insight and Inspiration.;1995;Patrick Kelly and Christopher G. Smith and Mark W. Bridges
Matching Intelligent Systems with Business Process Reengineering.;1996;Clyde W. Holsapple and Anita Lee
Building An Intelligent Business Process Reengineering System: A Case-Based Approach.;1996;Kevin Xiaoguo Zhu
Identifying Tiers of Influence in Artificial Intelligence Research: I.;1996;Steve Ku and Yung-Ho Suh and Gheorghe Tecuci
Sensor-based Condition Monitoring and Predictive Maintenance - An Integrated Intelligent Management Support System.;1996;Raúl E. Valdés-Pérez
The Impact of Artificial Intelligence in Accounting Work: Expert Systems Use in Auditing and Tax.;1997;Andrew Lymer
Second international meeting on artificial intelligence in accounting, finance and tax, Punta Umbria, Spain, 27-28 September 1996.;1997;Luis Montaño Hirose
Business Process Modeling from the Control Perspective: The AI Planning Approach.;1997;Kenneth Aizawa
An intelligent agent-based competitive contract process: UNIK-AGENT.;1998;Martyn Wild and Lyn Henderson
Blay Whitby, Reflections on Artificial Intelligence: The Legal, Moral, and Ethical Dimensions, Exeter, UK: Intellect Books, 1996, 127 pp., £14.95 (paper), ISBN 1-871516-68-4.;1999;Graeme J. Mitchison and Nicholas V. Swindale
Research and Ethical Issues Arising from Ethnographic Interviews of Patients' Reactions to an Intelligent Interactive Telephone Health Behavior Advisor.;1999;Henrik Hansson
Management of reengineering knowledge: AI-based approaches.;2000;Richard G. Epstein and Deepak Kumar 0002
Managing the Context Issues of Non-Financial Accounting Information on the Internet: An Intelligent Agent Approach.;2000;Ulric Björck
Integrating machine learning and workflow management to support acquisition and adaptation of workflow models.;2000;Daniel E. O'Leary
Curriculum descant: stories and plays about the ethical and social implications of artificial intelligence.;2000;Miquel Sànchez-Marrè and Ulises Cortés and Ignasi R.-Roda and Manel Poch
Intelligent Leaky Bucket Algorithms for Sustainable-Cell-Rate Usage Parameter Control in ATM Networks.;2001;Jennifer A. Polack-Wahl
Intelligent Agents in an e-Literate Society: Some Ethical Considerations.;2002;John K. Debenham
Organizing and personalizing intelligence gathering from the web.;2002;Yoshinori Uesaka
Choice and Responsibility: The Delegation of Decision Making to Intelligent Software Agents.;2002;Hock-Beng Cheah and Evelyn Cheah
Ethical Issues in Artificial Intelligence.;2002;Richard O. Mason
